"Key-Clé","CoAppNm","CoAppRoleCD","CoAppRoleEN","CoAppRoleFR","CoAppOrgID","CoAppOrgNm","ProvinceEN","ProvinceFR","CountryEN","PaysFR","FiscalYear-AnnéeFinancière"
895598,"Forkert, Poh-Gek","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEDA","Queen's University (Kingston, Ontario)","Ontario","Ontario","Canada","Canada","200102"
299404,"Crawford, John Douglas","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEPA","York University (Toronto, Ontario)","Ontario","Ontario","Canada","Canada","200102"
887106,"Marshall, Jean S","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CHAA","Dalhousie University (Nova Scotia)","Nova Scotia","Nouvelle-Écosse","Canada","Canada","200102"
806037,"Cuello, A. Claudio G","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
293273,"Elliott, Bruce E","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEDA","Queen's University (Kingston, Ontario)","Ontario","Ontario","Canada","Canada","200102"
235564,"Duff, Henry J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
235564,"Gillis, Anne M","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
235564,"Sheldon, Robert S","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
235564,"Kavanagh, Katherine M","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
272873,"Duff, Henry J","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
272873,"Gillis, Anne M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
272873,"Sheldon, Robert S","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
272873,"Kavanagh, Katherine M","CO","Co-Investigator","Co-chercheur","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
747475,"Reudelhuber, Timothy L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCN","Institut de recherches cliniques de Montréal","Québec","Québec","Canada","Canada","200102"
696610,"Schiffrin, Ernesto L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
797646,"Fuks, Abraham","CO","Co-Investigator","Co-chercheur","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
797646,"Stanners, Clifford P","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
149864,"Adamson, Ian Y","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CDAA","University of Manitoba","Manitoba","Manitoba","Canada","Canada","200102"
14589,"Belanger, Luc","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
282465,"Bendayan, Moise","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
943566,"Boggs, Joan M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAB","Hospital for Sick Children (Toronto)","Ontario","Ontario","Canada","Canada","200102"
47024,"Brash, John L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEBA","McMaster University","Ontario","Ontario","Canada","Canada","200102"
499046,"Cattini, Peter A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CDAA","University of Manitoba","Manitoba","Manitoba","Canada","Canada","200102"
902140,"Cattini, Peter A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CDAA","University of Manitoba","Manitoba","Manitoba","Canada","Canada","200102"
902140,"Kardami, Elissavet","CO","Co-Investigator","Co-chercheur","CDAA","University of Manitoba","Manitoba","Manitoba","Canada","Canada","200102"
371986,"Chadee, Khrisendath","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
571784,"Chow, Anthony W","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAE","Vancouver General Hospital","British Columbia","Colombie-Britannique","Canada","Canada","200102"
326144,"Churg, Andrew M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
326144,"Wright, Joanne L","CO","Co-Investigator","Co-chercheur","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
326144,"Gilks, Cyril B","CO","Co-Investigator","Co-chercheur","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
872668,"Cooper, Ellis J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
735854,"Cybulsky, Andrey V","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
118167,"Deschenes, Martin","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
198500,"Drapeau, Pierre","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
301465,"Dussault, Jean H","CO","Co-Investigator","Co-chercheur","CFBC","Centre hospitalier de l'Université Laval (Québec)","Québec","Québec","Canada","Canada","200102"
301465,"Puymirat, Jack","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","AEHD","Centre Hospitalier Universitaire de Québec","Québec","Québec","Canada","Canada","200102"
138772,"Ellison, Michael J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
394228,"Ferrier, Gregory R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CHAA","Dalhousie University (Nova Scotia)","Nova Scotia","Nouvelle-Écosse","Canada","Canada","200102"
695750,"Fleming, Alison S","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
957670,"Friesen, James (Jim) D","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
515823,"Grant, Denis M","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAA","University of Toronto","Ontario","Ontario","Canada","Canada","200102"
109281,"Gray, Michael W","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CHAA","Dalhousie University (Nova Scotia)","Nova Scotia","Nouvelle-Écosse","Canada","Canada","200102"
239551,"Grinstein, Sergio","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAB","Hospital for Sick Children (Toronto)","Ontario","Ontario","Canada","Canada","200102"
628456,"Hancock, Robert Ernest W","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
709333,"Hawkes, Richard B","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBBA","University of Calgary","Alberta","Alberta","Canada","Canada","200102"
808653,"Hess, Robert F","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
733273,"Ho, Anthony K","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
145672,"Cook, Michael A","CO","Co-Investigator","Co-chercheur","CEEA","University of Western Ontario","Ontario","Ontario","Canada","Canada","200102"
145672,"Karmazyn, Morris","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","Unspecified/Non Spécifié","Unspecified/Non Spécifié","Unknown","Inconnu","Unspecified/Non Spécifié","Unspecified/Non Spécifié","200102"
340637,"Kerbel, Robert S","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CEAF","Sunnybrook Research Institute (Toronto, Ontario)","Ontario","Ontario","Canada","Canada","200102"
629996,"Kremer, Richard B","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
245093,"Lacaille, Jean-Claude","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFCA","Université de Montréal","Québec","Québec","Canada","Canada","200102"
721575,"Landry, Jacques","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
42820,"Leenen, Frans H","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","ABDZ","University of Ottawa Heart Institute/Institut de cardiologie de l'Université d'Ottawa","Ontario","Ontario","Canada","Canada","200102"
395991,"Leung, Peter C","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
195114,"Mackie, George A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
688673,"MacVicar, Brian A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CAAA","University of British Columbia","British Columbia","Colombie-Britannique","Canada","Canada","200102"
285719,"Martin, Garry L","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CDAA","University of Manitoba","Manitoba","Manitoba","Canada","Canada","200102"
71471,"Matlashewski, Gregory J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
383742,"McInnes, Roderick R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAF","CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General/CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Hôpital juif","Québec","Québec","Canada","Canada","200102"
173229,"Mcneill, J. R","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CCAA","University of Saskatchewan","Saskatchewan","Saskatchewan","Canada","Canada","200102"
787804,"Meaney, Michael J","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
427642,"Meighen, Edward A","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
739582,"Mitchell, Bryan F","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CBAA","University of Alberta","Alberta","Alberta","Canada","Canada","200102"
832682,"Mortola, Jacopo P","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFAA","McGill University/Université McGill","Québec","Québec","Canada","Canada","200102"
557975,"Moss, Thomas","NPI","Nominated Principal Investigator","Chercheur principal qui parraine","CFBA","Université Laval","Québec","Québec","Canada","Canada","200102"
878088,"George, Susan R","CO","Co-Investigator","Co-chercheur","ADHD","University Health Network (Toronto)","Ontario","Ontario","Canada","Canada","200102"
