"","organization","province"
"1","AIDS Calgary Awareness Association","Alberta"
"2","Alberta Bone and Joint Health Institute (Calgary, AB)","Alberta"
"3","Alberta Cancer Foundation","Alberta"
"4","Alberta Community Council on HIV (Edmonton, AB)","Alberta"
"5","Alberta Health Services","Alberta"
"6","Alberta Health Services North Zone","Alberta"
"7","Alberta Innovates Corporation (Edmonton)","Alberta"
"8","Alberta Mental Health Board","Alberta"
"9","Alberta Recreation & Parks Association","Alberta"
"10","Alliance for the Commercialization of Canadian Technologies (Calgary, AB)","Alberta"
"11","Athabasca University (Alberta)","Alberta"
"12","Calgary Health Region","Alberta"
"13","Canadian Bioethics Society (Calgary, Alberta)","Alberta"
"14","Canadian Neurological Sciences Federation (Calgary, AB)/Fédération des sciences neurologiques du Canada","Alberta"
"15","Concordia University of Edmonton","Alberta"
"16","Consortium of Canadian Centres for Clinical Cognitive Research","Alberta"
"17","Covenant Health (Edmonton)","Alberta"
"18","Creating Hope Society of Alberta","Alberta"
"19","Institute of Health Economics (Edmonton)","Alberta"
"20","Métis Nation of Alberta (Edmonton)","Alberta"
"21","MacEwan University (Edmonton)","Alberta"
"22","Manning Innovation Awards (Calgary, Alberta)","Alberta"
"23","MASKWACIS HEALTH SERVICES (Alberta)","Alberta"
"24","MCMURRAY MÉTIS (Alberta)","Alberta"
"25","Mental Health Commission of Canada (Calgary Office)","Alberta"
"26","Mount Royal University (Calgary, Alberta)","Alberta"
"27","NorQuest College (Edmonton, Alberta)","Alberta"
"28","Obesity Canada (Edmonton, AB)","Alberta"
"29","Scleroderma Society of Canada (Calgary, Alberta)/Société canadienne de sclérodermie","Alberta"
"30","Sickle Cell Foundation of Alberta","Alberta"
"31","The Alberta First Nations Information Governance Centre (Calgary)","Alberta"
"32","The City of Calgary","Alberta"
"33","The King's University College (Edmonton, Alberta)","Alberta"
"34","The Marigold Foundation Ltd. (Calgary, Alberta)","Alberta"
"35","The SHARP Foundation (Calgary, Alberta)","Alberta"
"36","The Wood Buffalo HIV & AIDS Society (Fort McMurray, AB)","Alberta"
"37","University of Alberta","Alberta"
"38","University of Alberta Hospital (Edmonton)","Alberta"
"39","University of Calgary","Alberta"
"40","University of Lethbridge (Alberta)","Alberta"
"41","Aboriginal Head Start Association of British Columbia (British-Columbia)","British Columbia"
"42","ABORIGINAL PHYSICAL ACTIVITY CULTURAL CIRCLE (Vancouver,BC)","British Columbia"
"43","Accel - Rx Health Sciences Accelerator Society (Vancouver, BC)","British Columbia"
"44","Advanced Applied Physics Solutions, Inc. (Richmond, BC)","British Columbia"
"45","AIDS Vancouver","British Columbia"
"46","Arthritis Research Centre Society of Canada (British Columbia)","British Columbia"
"47","B.C. Cancer Research Centre (Vancouver)","British Columbia"
"48","B.C. Centre for Disease Control (Vancouver)","British Columbia"
"49","B.C. Children's Hospital (Vancouver)","British Columbia"
"50","BC Academic Health Science Network Society","British Columbia"
"51","BC Cancer, part of PHSA (Vancouver)","British Columbia"
"52","BC Non-Profit Housing Association (Vancouver)","British Columbia"
"53","BC Women's Health Foundation","British Columbia"
"54","British Columbia Institute of Technology (Burnaby)","British Columbia"
"55","British Columbia Institute of Technology (Vancouver)","British Columbia"
"56","British Columbia Ministry of Health (Victoria)","British Columbia"
"57","Canadian Aboriginal AIDS Network (Vancouver)/Réseau canadien autochtone du SIDA (Vancouver)","British Columbia"
"58","Canadian Association for Neuroscience (Vancouver, BC)/Association canadienne des neurosciences","British Columbia"
"59","Canadian Association of Nurses in Oncology","British Columbia"
"60","Canadian Gene Cure Foundation","British Columbia"
"61","Canadian Genetic Diseases Network (Vancouver)","British Columbia"
"62","Canadian Institute for the Relief of Pain and Disability","British Columbia"
"63","Canadian Society for Immunology","British Columbia"
"64","CECR in the Prevention of Epidemic Organ Failure","British Columbia"
"65","Centre for Drug Research and Development (Vancouver, BC)","British Columbia"
"66","Centre of Excellence for Women's Health (Vancouver, BC)/Centres d'excellence pour la Santé des Femmes","British Columbia"
"67","College of New Caledonia (Prince George, BC)","British Columbia"
"68","Community-Based Research Centre (Vancouver B.C.)","British Columbia"
"69","Down Syndrome Research Foundation (Burnaby, BC)","British Columbia"
"70","Emily Carr University of Art & Design (Vancouver, BC)","British Columbia"
"71","Fraser Health Authority (Surrey, BC)","British Columbia"
"72","Health Initiative For Men Society (Vancouver, BC)","British Columbia"
"73","Interior Health Authority (Kelowna, BC)","British Columbia"
"74","Justice Institute of British Columbia (New Westminster, BC)","British Columbia"
"75","Kwantlen Polytechnic University (BC)","British Columbia"
"76","Métis Nation of Greater Victoria","British Columbia"
"77","Make Way (Vancouver, BC)","British Columbia"
"78","Michael Smith Foundation for Health Research","British Columbia"
"79","Neil Squire Society (Vancouver)","British Columbia"
"80","Nuu-Chah-Nulth Tribal Council (British Columbia)","British Columbia"
"81","Okanagan University College (British Columbia)","British Columbia"
"82","Ovarian Cancer Canada (Vancouver, BC)/Cancer de l'ovaire Canada","British Columbia"
"83","Pacific AIDS Network (Vancouver, BC)","British Columbia"
"84","Positive Living North: No kheyoh t'sih'en t'ehena Society(Prince George BC)","British Columbia"
"85","Positive Living Society of British Columbia (Vancouver, B.C.)","British Columbia"
"86","Prostate Centre's Translational Res Init Acc Disc & Development","British Columbia"
"87","RésoSanté Colombie-Britannique (Vancouver)","British Columbia"
