Code,Occasion_financement
1001,Projets de recherche concertée sur la santé (PRCS)
1003,PCH-CRSH initiative pour la recherche en matière de citoyenneté numérique (Connection)
1005,Initiative sur la santé et productivité au travail d'emploi et développement social Canada
1006,Intervention de recherche rapide
1007,Initiative pancanadienne d'accès aux connaissances (IPCAC)
1008,Subventions d'engagement partenarial (SEP) - COVID-19 Initiative Spéciale
1036,"Race, Genre et diversité - Initiative conjointe"
1074,Subventions de synthèse des connaissances - L'émergence de la société asociale
1403,PCH-CRSH initiative pour la recherche en matière de citoyenneté numérique (Savoir)
1703,PCH-CRSH initiative pour la recherche en matière de citoyenneté numérique
2001,Horizon 2020
2002,Plateforme transatlantique - Innovation sociale
2003,L'Initiative sur l'intelligence artificielle entre le Canada et le Royaume-Uni
2004,Open Research Area
2005,"Plateforme transatlantique - Rétablissement, renouveau et résilience dans un monde post-pandémique"
320,Bourses de maîtrise en politique scientifique
321,Bourse de la Reine - fonds du CRSH
410,Subventions ordinaires de recherche
412,Programme des grands travaux de recherche concertée
413,Groupe consultatif interagences en éthique de la recherche et EPTC
414,Subvention inter-conseils/consortiums
421,Fonds présidentiel pour l'innovation et le développement
430,Subventions de développement Savoir
435,Subventions Savoir
489,Congé parental - subventions de recherche et des partenariats
501,Subventions de recherche de l'INÉ
502,Subventions de diffusion de l'INÉ
503,Subventions de développement de l'INÉ
504,Initiative de recherche Traverser les frontières
512,Initiatives de recherche concertée de l'INÉ
537,INÉ - Initiative de recherche sur les compétences
538,Alliances de recherche de l'INÉ
539,Initiative de recherche en éducation du CSCE et du CRSH
540,Séminaires de l'INÉ sur les données et les statistiques
542,INÉ - Le Canada et l'avenir
603,Impact du savoir dans la société
604,"Subventions de sensibilisation du public - Gestion, administration et finance"
605,Subventions de sensibilisation du public - Enjeux environnementaux canadiens
606,Subventions de sensibilisation du public - Les communautés du Nord...vers une prospérité sociale et économique
607,Partenariat des trois Conseils sur la systhèse de connaissances en matière d'environnement
608,Subventions de sensibilisation du public - Catégorie « Ouverte »
609,Subventions de sensibilisation du public - Économie numérique
610,Subventions de sensibilisation du public - Recherche autochtone
611,Subventions Connexion
612,Subventions Connexion - Capacité de recherche autochtone et réconciliation
633,Subventions institutionnelles du CRSH
642,Aide à l'édition savante
645,Programme d'aide et de subvention de voyage aux sociétés savantes
646,Aide aux ateliers et aux colloques de recherche au Canada
647,Aide aux revues de recherche et de transfert
648,Étudiants communiquant les liens et les avancées technologiques et scientifiques (ÉCLAT)
649,Aide aux revues de recherche à libre accès
650,Connections (Fédération canadienne des sciences humaines)
651,Aide aux revues savantes
681,Aide aux petites universités
750,Programme de stage parlementaire
751,Bourses de la Société japonaise pour la promotion de la science (SJPS)
752,Bourses de doctorat
754,Bourse canadienne Bora Laskin pour la recherche sur les droits de la personne
756,Bourses postdoctorales
757,Le Prix Aurore du CRSH
