"","organization","orgID","province","country"
"1","McGill University/Université McGill","CFAA","Québec","Canada"
"2","University of Toronto","CEAA","Ontario","Canada"
"3","University of British Columbia","CAAA","British Columbia","Canada"
"4","Université de Montréal","CFCA","Québec","Canada"
"5","Institut de recherches cliniques de Montréal","CFCN","Québec","Canada"
"6","Research Institute of the McGill University Health Centre/Institut de recherche du Centre universitaire de santé McGill","CFAC","Québec","Canada"
"7","Hospital for Sick Children (Toronto)","CEAB","Ontario","Canada"
"8","Sinai Health System (Toronto)","CEAD","Ontario","Canada"
"9","McMaster University","CEBA","Ontario","Canada"
"10","Centre hospitalier de l'Université de Montréal (CHUM)","ADWY","Québec","Canada"
"11","CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur","CFCE","Québec","Canada"
"12","Université de Sherbrooke","CFDA","Québec","Canada"
"13","University Health Network (Toronto)","ADHD","Ontario","Canada"
"14","University of Alberta","CBAA","Alberta","Canada"
"15","University of Ottawa/Université d'Ottawa","CECA","Ontario","Canada"
"16","Queen's University (Kingston, Ontario)","CEDA","Ontario","Canada"
"17","University of Western Ontario","CEEA","Ontario","Canada"
"18","University of Manitoba","CDAA","Manitoba","Canada"
"19","University of Calgary","CBBA","Alberta","Canada"
"20","Montreal Children's Hospital/Hôpital de Montréal pour enfants","CFAB","Québec","Canada"
"21","University of Saskatchewan","CCAA","Saskatchewan","Canada"
"22","University of Lethbridge (Alberta)","CBCA","Alberta","Canada"
"23","Université Laval","CFBA","Québec","Canada"
"24","York University (Toronto, Ontario)","CEPA","Ontario","Canada"
"25","Dalhousie University (Nova Scotia)","CHAA","Nova Scotia","Canada"
"26","INRS - (Québec, QC)","CFJA","Québec","Canada"
"27","Sunnybrook Research Institute (Toronto, Ontario)","CEAF","Ontario","Canada"
"28","CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas","CFAD","Québec","Canada"
"29","Montreal Heart Institute/Institut de cardiologie de Montréal","CFCK","Québec","Canada"
"30","University of Victoria (British Columbia)","CABA","British Columbia","Canada"
"31","Unity Health Toronto","CEAJ","Ontario","Canada"
"32","Concordia University (Montreal, Quebec)/Université Concordia","CFGA","Québec","Canada"
"33","Centre for Addiction and Mental Health (Toronto)/Centre de toxicomanie et de santé mentale","CEAH","Ontario","Canada"
"34","Robarts Research Institute - U.W.O. (London, Ont.)","CPCV","Ontario","Canada"
"35","Ottawa Hospital General Campus (Ottawa Ontario)/Hôpital général d'Ottawa","OHGC","Ontario","Canada"
"36","Alberta Health Services","CBAC","Alberta","Canada"
"37","CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General/CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Hôpital juif","CFAF","Québec","Canada"
"38","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)","CFCF","Québec","Canada"
"39","CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont","CFCC","Québec","Canada"
"40","Baycrest Centre for Geriatric Care (Toronto)","ABPI","Ontario","Canada"
"41","Laurentian University of Sudbury/Université Laurentienne","CEKA","Ontario","Canada"
"42","University of Guelph","CEHA","Ontario","Canada"
"43","Simon Fraser University (Burnaby, B.C.)","CACA","British Columbia","Canada"
"44","Université du Québec à Montréal","CFEB","Québec","Canada"
"45","Thompson Rivers University (Kamloops, BC)","ADZX","British Columbia","Canada"
"46","Memorial University of Newfoundland","CJAA","Newfoundland and Labrador","Canada"
"47","Polytechnique Montréal","ABPQ","Québec","Canada"
"48","Health Services Utilization and Research Commission (Saskatoon)","ADUB","Saskatchewan","Canada"
"49","CIUSSS de l'Est-de-l'lle-de-Montréal-Santé Mentale","CFAG","Québec","Canada"
"50","Université du Québec à Trois-Rivières","CFEC","Québec","Canada"
"51","Health Sciences North (Sudbury)/Horizon Santé-Nord (Sudbury)","ADES","Ontario","Canada"
"52","Ottawa Hospital Research Institute/Institut de recherche de l'Hôpital d'Ottawa","ADYP","Ontario","Canada"
"53","Carleton University (Ottawa)","CEGA","Ontario","Canada"
"54","University of Regina (Saskatchewan)","CCBA","Saskatchewan","Canada"
"55","University of Waterloo (Ontario)","CENA","Ontario","Canada"
"56","CIUSSS du Centre-Sud-de-l'Île-de-Montréal (Montréal, Québec)","CFCL","Québec","Canada"
"57","University of New Brunswick (Fredericton)","CGAA","New Brunswick","Canada"
"58","Children's Hospital of Eastern Ontario Research Institute Inc/Institut recherche Centre hospitalier pour enfants de l'est de l'Ontario","CECC","Ontario","Canada"
"59","Institute for Work & Health (Toronto)","ADZY","Ontario","Canada"
"60","Trent University (Peterborough, Ontario)","CEMA","Ontario","Canada"
"61","The Arthritis Society, BC and Yukon Division","CADB","British Columbia","Canada"
"62","Arthritis Research Centre Society of Canada (British Columbia)","INYR","British Columbia","Canada"
"63","Lakehead University (Thunder Bay, Ontario)","CEJA","Ontario","Canada"
"64","Direct payment to individual outside Canada/Versement direct à un invididu à l'extérieur du Canada","ZXXB","Unknown/Inconnu","Unspecified/Non Spécifié"
"65","Direct payment to organization outside Canada/Versement direct à un organisation à l'extérieur du Canada","ZXXA","Unknown/Inconnu","Unspecified/Non Spécifié"
"66","University of Prince Edward Island (Charlottetown)","CKAA","Prince Edward Island","Canada"
"67","St. Paul's Hospital, Vancouver","CAAF","British Columbia","Canada"
"68","Duke University (North Carolina)","SHCA","North Carolina","United States"
"69","Bio-Méga/Boehringer Ingelheim (Laval, Québec)","ADSL","Québec","Canada"
"70","Ottawa Hospital Research Institute","CECE","Ontario","Canada"
"71","Undetermined/Indeterminé","XXXX","Unknown","Unknown"
"72","Direct payment to individual inside Canada/Versement direct à un invididu à l'intérieur du Canada","ZXXX","Unknown/Inconnu","Canada"
"73","Unspecified/Non Spécifié","YYYY","Unknown","Unspecified/Non Spécifié"
"74","St. Joseph's Hospital (Hamilton, Ontario)","CEBD","Ontario","Canada"
"75","Alberta Innovates Corporation (Edmonton)","INRC","Alberta","Canada"
"76","University of Ottawa Heart Institute/Institut de cardiologie de l'Université d'Ottawa","ABDZ","Ontario","Canada"
"77","National Jewish Centre (Denver)","BAIE","Colorado","United States"
"78","B.C. Children's Hospital (Vancouver)","CAAG","British Columbia","Canada"
"79","University of Houston (Texas)","ABIB","Texas","United States"
"80","Montreal General Hospital/Hôpital général de Montréal","CFAI","Québec","Canada"
"81","University of Chicago (Illinois)","UNBB","Illinois","United States"
"82","Regina Qu'Appelle Health Region (Saskatchewan)","AEFY","Saskatchewan","Canada"
"83","CIUSSS de l'Ouest de-l'Ile-de-Montréal-Cavendish","INVX","Québec","Canada"
"84","Toronto General Hospital","CEAG","Ontario","Canada"
"85","Cleveland Clinic Lerner Research Institute (Cleveland, Ohio)","CLCF","Ohio","United States"
"86","Merck Frosst Canada Inc. (Quebec)","INBK","Québec","Canada"
"87","University of Virginia (Charlottesville)","SUAA","Virginia","United States"
"88","Université du Québec à Chicoutimi","CFED","Québec","Canada"
"89","Ryerson University (Toronto)","ABAF","Ontario","Canada"
"90","CancerCare Manitoba","INWC","Manitoba","Canada"
"91","AstraZeneca R & D (Montreal, Quebec)","INYF","Québec","Canada"
"92","Université de Moncton (New Brunswick)","CGBA","New Brunswick","Canada"
"93","University of Windsor (Ontario)","CEOA","Ontario","Canada"
"94","Okanagan University College (British Columbia)","ADWP","British Columbia","Canada"
"95","Canadian Policy Research Networks (Ottawa)","CANP","Ontario","Canada"
"96","Wilfrid Laurier University (Waterloo, Ontario)","CELA","Ontario","Canada"
"97","Boston Children's Hospital (Boston, MA)","UVBB","Massachusetts","United States"
"98","CNRS (Bordeaux, France)","FAAC","Unknown/Inconnu","France"
"99","Toronto Rehabilitation Institute-UHN","IOAA","Ontario","Canada"
"100","B.C. Cancer Research Centre (Vancouver)","CAAH","British Columbia","Canada"
"101","Centre of Excellence for Women's Health (Vancouver, BC)/Centres d'excellence pour la Santé des Femmes","IRAT","British Columbia","Canada"
"102","University of Northern British Columbia","ADQW","British Columbia","Canada"
"103","Hôpital Lariboisière (France)","BAMC","Unknown/Inconnu","France"
"104","Albany Medical College (New York)","AAVX","New York","United States"
"105","Dana-Farber Cancer Institute (Boston)","UVBC","Massachusetts","United States"
"106","Toronto Western Hospital","CEAC","Ontario","Canada"
"107","Hôpital Notre-Dame (Montréal)","CFCD","Québec","Canada"
"108","Center for Infectious Diseases","UKAA","Georgia","United States"
"109","Institut universitaire de gériatrie de Sherbrooke","AEIF","Québec","Canada"
"110","Mount Saint Vincent University (Halifax)","CHFA","Nova Scotia","Canada"
"111","University of Manchester (England)","AAHI","Unknown/Inconnu","United Kingdom"
"112","IWK Health Centre (Halifax)","IWKI","Nova Scotia","Canada"
"113","Hôtel-Dieu de Montréal (Montréal)","CFCH","Québec","Canada"
"114","Harvard University (Massachusetts)","UVAA","Massachusetts","United States"
"115","Health and Community Services Board","INZI","Newfoundland and Labrador","Canada"
"116","British Columbia Ministry of Health (Victoria)","AABM","British Columbia","Canada"
"117","B.C. Centre for Disease Control (Vancouver)","ABUZ","British Columbia","Canada"
"118","St. Thomas University (Fredericton, New Brunswick)","AAON","New Brunswick","Canada"
